Problem ID,Year,Number,Title,Difficulty,Tags,Status,Notes
N2020-N,2020,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-O,2020,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-P,2020,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-Q,2020,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2020-R,2020,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-A,2021,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-B,2021,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-C,2021,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-D,2021,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-E,2021,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-F,2021,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-G,2021,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-H,2021,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-I,2021,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-J,2021,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-K,2021,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-L,2021,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-M,2021,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-N,2021,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-O,2021,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-P,2021,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-Q,2021,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-R,2021,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2021-S,2021,S,Problem S,3,"computational, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-A,2022,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-B,2022,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-C,2022,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-D,2022,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-E,2022,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-F,2022,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-G,2022,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-H,2022,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-I,2022,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-J,2022,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-K,2022,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-L,2022,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-M,2022,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-N,2022,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-O,2022,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-P,2022,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-Q,2022,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2022-R,2022,R,Problem R,3,"historical-linguistics, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-A,2023,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-B,2023,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-C,2023,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-D,2023,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-E,2023,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-F,2023,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-G,2023,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-H,2023,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-I,2023,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-J,2023,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-K,2023,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-L,2023,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-M,2023,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-N,2023,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-O,2023,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-P,2023,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2023-Q,2023,Q,Problem Q,3,"syntax, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-A,2025,A,Problem A,1,"morphology, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-B,2025,B,Problem B,1,"phonology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-C,2025,C,Problem C,1,"syntax, pattern-recognition, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-D,2025,D,Problem D,1,"morphology, translation, beginner",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-E,2025,E,Problem E,2,"semantics, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-F,2025,F,Problem F,2,"morphology, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-G,2025,G,Problem G,2,"phonology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-H,2025,H,Problem H,2,"syntax, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-I,2025,I,Problem I,2,"writing-systems, pattern-recognition, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-J,2025,J,Problem J,2,"semantics, rule-formulation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-K,2025,K,Problem K,2,"morphology, translation, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-L,2025,L,Problem L,2,"phonology, paradigm, intermediate",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-M,2025,M,Problem M,3,"historical-linguistics, rule-formulation, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-N,2025,N,Problem N,3,"computational, reconstruction, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-O,2025,O,Problem O,3,"comparative-linguistics, algorithm-design, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
N2025-P,2025,P,Problem P,3,"morphology, decipherment, advanced",auto-generated,Tags auto-generated based on heuristics. Requires manual verification.
